AvgUnitsShipped,StdUnitsShipped,MinUnitsShipped,MaxUnitsShipped,AvgNetAmount,StdNetAmount,MinNetAmount,MaxNetAmount,NumberOfTransactions,NumberOfTransactionDays,GLCategory
2.043956,1.24643569974626,0.0,6.0,29.170329,17.7476619712475,0.0,86.34,91,75,Vitamins
1.1758790000000001,1.00212246511838,0.0,12.0,17.176817,14.256065785000901,0.0,170.04,597,210,Packaged Grocery
1.245959,0.7490801981122741,0.0,10.0,24.260421,14.367677799964099,0.0,204.2,1423,275,Packaged Grocery
1.923809,1.7994961447662199,0.0,12.0,20.371476,26.605766655774804,0.0,169.2,210,116,Vitamins
1.004032,0.449448450957867,0.0,4.0,27.261329999999997,12.150935743304998,0.0,109.16,496,206,Packaged Grocery
1.044025,0.262432174287891,1.0,4.0,19.995062,5.13086116228982,16.56,78.12,1272,279,Frozen
0.9577459999999999,0.26385167469133997,0.0,2.0,20.712957,6.33432134021052,0.0,44.36,71,58,Packaged Grocery
1.0569,0.37550074181351795,0.0,8.0,19.35506,7.2821156305662695,0.0,153.6,826,264,Packaged Grocery
0.787878,0.415148750267281,0.0,1.0,30.969696000000003,16.3237079283569,0.0,39.9,33,29,Packaged Grocery
4.666666,3.0550504633038904,2.0,8.0,26.24,21.637301125602498,12.8,51.2,3,3,Body Care
1.03252,0.398183157027781,0.0,6.0,19.626471,7.42108480915764,0.0,117.0,615,243,Packaged Grocery
0.921568,0.329248745920305,0.0,2.0,17.964362,6.5211785972327805,0.0,40.0,612,246,Packaged Grocery
2.039014,1.44889536957437,0.0,18.0,15.880204999999998,10.428145219306801,0.0,106.02,487,219,Body Care
1.326608,1.14749471803929,0.0,20.0,24.225169,18.4125730661229,0.0,400.2,2627,288,Packaged Grocery
1.331785,1.1431729039857,0.0,16.0,26.468082,21.568360249444105,0.0,305.6,1507,264,Packaged Grocery
1.0,0.0,1.0,1.0,32.963333,0.0577350269149981,32.93,33.03,3,3,Frozen
1.0775190000000001,0.7965982666624449,0.0,5.0,15.272557999999998,10.705479268745801,0.0,65.3,129,103,Packaged Grocery
1.245421,0.7778098412245742,0.0,8.0,57.01450500000001,33.874255350956105,0.0,339.2,273,154,Meat
1.147816,0.430093894457687,1.0,4.0,16.847406,6.33561004060953,0.0,58.72,1901,277,Packaged Grocery
0.5,0.707106781186548,0.0,2.0,4.552,6.20561895919067,0.0,16.56,10,10,Body Care
0.9703700000000001,0.297033369981031,0.0,2.0,22.433529999999998,7.68092784767239,0.0,50.84,405,207,Packaged Grocery
1.023715,0.355555163435382,0.0,3.0,18.356876999999997,6.85455793012699,0.0,56.67,253,159,Packaged Grocery
1.4956120000000002,1.9182938097486397,0.0,40.0,23.914233,27.801794376911,0.0,662.8,2393,293,Packaged Grocery
1.8194439999999998,1.14235226663909,0.0,5.0,12.570833,7.9173819741088405,0.0,35.1,72,60,Vitamins
1.192333,0.610225402946714,0.0,6.0,23.726411,11.9868335289374,0.0,120.96,1513,266,Frozen
1.93,2.57907273290541,0.0,12.0,6.7333,8.960733990386311,0.0,41.76,100,80,Packaged Grocery
1.102803,0.530864098673909,0.0,8.0,15.995560000000001,6.98930657997058,0.0,104.72,856,248,Packaged Grocery
1.3275489999999999,1.00406835249689,1.0,33.0,26.758126,19.3802632218232,0.0,603.24,2824,279,Packaged Grocery
