index,AvgUnitsShipped,StdUnitsShipped,MinUnitsShipped,MaxUnitsShipped,AvgNetAmount,StdNetAmount,MinNetAmount,MaxNetAmount,NumberOfTransactions,NumberOfTransactionDays,GLCategory
2860,1.060292,0.675800611044783,0.0,6.0,12.102799000000001,7.44213189018417,0.0,75.84,1161,275,Packaged Grocery
606,1.290554,1.04707938184107,0.0,12.0,27.241119,22.0460156034567,0.0,254.28,974,261,Packaged Grocery
6676,0.914675,0.664322948670278,0.0,4.0,16.804709,12.302886578029302,0.0,68.08,293,175,Packaged Grocery
379,0.769265,0.7100839488549701,0.0,8.0,13.493502,12.3860182995839,0.0,138.56,2193,280,Packaged Grocery
4682,0.568627,0.500196039999691,0.0,1.0,8.115294,7.1688722552270905,0.0,14.97,51,43,Packaged Grocery
877,0.9465020000000001,0.446772293717689,0.0,3.0,13.195185,7.579757095768571,0.0,38.73,243,123,Packaged Tea
215,1.078014,0.5473450178075121,0.0,4.0,9.306453,4.82505837718559,0.0,35.32,423,204,Body Care
7066,0.159574,0.368174557985154,0.0,1.0,4.750425,11.025430517514698,0.0,33.22,94,52,Packaged Grocery
2674,1.024242,0.18972107740996902,1.0,3.0,16.929151,3.0106308402346302,10.4,42.0,165,125,Packaged Grocery
6459,1.074626,0.316870723846392,1.0,3.0,31.124925,10.176087295511099,0.0,85.95,67,61,Packaged Grocery
2312,0.9067350000000001,0.7501384929215941,0.0,6.0,11.183937,9.025802409126381,0.0,84.78,386,162,Packaged Grocery
6527,1.0,0.0,1.0,1.0,24.805,1.13,24.24,26.5,4,4,Body Care
3089,0.773134,0.45372117105502596,0.0,2.0,33.102865,19.5876640307746,0.0,89.22,335,179,Packaged Grocery
5388,1.3409799999999998,1.56538078188669,0.0,35.0,15.982179,16.6179828314818,0.0,365.05,959,236,Packaged Grocery
6971,1.0,0.0,1.0,1.0,11.03,0.178885438200013,10.71,11.11,5,5,Packaged Tea
2611,1.115789,0.328526185017977,1.0,3.0,11.490210000000001,3.49449592967677,0.0,26.31,380,211,Packaged Grocery
4796,0.861244,0.421627322196072,0.0,2.0,45.562631,22.5643786936392,0.0,107.0,209,118,Frozen
4336,1.0553350000000001,0.42363364133902,0.0,6.0,32.797509000000005,13.6771242700545,0.0,187.2,253,136,Packaged Grocery
1222,1.0,0.311399577664609,0.0,3.0,24.294578,6.880662283346441,0.0,63.57,166,121,Frozen
3813,1.0,0.0,1.0,1.0,12.633846,6.93571858625278,0.0,19.87,13,12,Packaged Grocery
5487,1.13372,0.529395653478508,1.0,6.0,8.648197,3.76503235875215,6.61,39.66,172,118,Packaged Grocery
4588,2.37037,1.4615440845595802,0.0,9.0,16.089382,10.1349095143567,0.0,59.76,81,63,Body Care
3065,0.5,0.707106781186548,0.0,1.0,10.17,14.382551929334399,0.0,20.34,2,2,Packaged Grocery
5527,5.816326,4.71554817150913,1.0,23.0,61.306326,49.69953951387429,10.54,242.42,49,6,Packaged Tea
4829,1.567259,1.3576508716564,1.0,22.0,39.502293,28.4742510648778,0.0,707.96,2193,278,Packaged Grocery
5619,0.901884,1.4027264568951299,0.0,8.0,11.478347,10.1533900005994,0.0,70.88,2069,277,Packaged Grocery
715,1.7216490000000002,1.26737729483512,0.0,6.0,19.534720999999998,13.9213129670329,0.0,65.04,485,210,Vitamins
